date,mean,min,max,rainfall_mm,District
2019-01-08,26.208413999999998,24.510477,26.264841,0.0,PALGHAR
2019-01-08,25.976587,23.80041,26.031946,0.0,RATNAGIRI
2019-01-08,25.417154500000002,23.541819,26.5384465,0.0,AMRAVATI
2019-01-08,24.748682,22.966303,26.279322,0.0,HINGOLI
2019-01-08,25.6508885,23.932581,26.7670685,0.0,WARDHA
2019-01-08,24.1741275,22.0381565,26.169183500000003,0.0,LATUR
2019-01-08,23.7081395,21.573389,24.494485500000003,0.0,SANGLI
2019-01-08,26.353754,24.369043,27.173395,0.0,JALGAON
2019-01-08,25.551691,23.281092,27.081842,0.0,PARBHANI
2019-01-08,25.199274000000003,23.789759,25.9109595,0.0,GARHCHIROLI
2019-01-08,26.477411,24.50326,26.922602,0.0,THANE
2019-01-08,25.7052555,23.923410500000003,26.1068975,0.0,DHULE
2019-01-08,24.903818,22.710062,26.700998,0.0,JALNA
2019-01-08,25.829035,23.669397,27.256098,0.0,AKOLA
2019-01-08,24.908045,22.625452,26.052912,0.0,AURANGABAD
2019-01-08,25.300959,22.893671,26.527002,0.0,SOLAPUR
2019-01-08,25.64007,24.1080575,27.196984999999998,0.0,YAVATMAL
2019-01-08,25.727198,24.02273,25.680414,0.0,RAIGAD
2019-01-08,23.284723,21.10177,23.60467,0.0,SATARA
2019-01-08,25.15925,22.626398000000002,26.195139,0.0,AHMEDNAGAR
2019-01-08,24.2019445,21.7788485,26.115137,0.0,OSMANABAD
2019-01-08,23.726221000000002,21.604242,24.194605,0.0,PUNE
2019-01-08,25.5814765,23.942438,26.4132025,0.0,NAGPUR
2019-01-08,25.900248,24.3888645,27.1365605,0.0,CHANDRAPUR
2019-01-08,25.2200105,23.265817499999997,26.4492435,0.0,WASHIM
2019-01-08,25.207941499999997,23.4408205,26.304147999999998,0.0,NANDED
2019-01-09,23.3898565,21.3941895,23.6662235,0.0,SANGLI
2019-01-09,22.712183000000003,21.092996499999998,23.2260225,0.0,KOLHAPUR
2019-01-09,24.12829,21.621485,26.024439,0.0,NASIK
2019-01-09,26.999842,23.701715,29.087488,0.0,JALGAON
2019-01-09,25.014978,23.504755,25.3128,0.0,RATNAGIRI
2019-01-09,25.1204775,21.970636499999998,26.14065,0.0,JALNA
2019-01-09,24.858545,21.846094,25.993402,0.0,AURANGABAD
2019-01-09,26.9379825,23.812036499999998,28.727961,0.0,AMRAVATI
2019-01-09,27.56167,23.978601,30.829004,0.0,BHANDARA
2019-01-09,24.181436499999997,22.9019105,24.747385,0.0,SINDHUDURG
2019-01-09,24.435586999999998,21.9557135,25.842782999999997,0.0,AHMEDNAGAR
2019-01-09,22.989969000000002,21.380945500000003,23.335046499999997,0.0,PUNE
2019-01-09,25.436548,22.348536,25.862055,0.0,PARBHANI
2019-01-09,26.76861,23.656122,28.98092,0.0,AKOLA
2019-01-09,25.540262,22.3036745,26.984247,0.0,NANDED
2019-01-09,24.079187500000003,21.5701845,25.279626999999998,0.0,OSMANABAD
2019-01-09,26.363337,23.034723,28.894281,0.0,BULDHANA
2019-01-09,27.267984499999997,24.199778000000002,28.818705,0.0,WARDHA
2019-01-09,25.999567,23.013956,28.018121999999998,0.0,WASHIM
2019-01-09,26.417413500000002,23.3585145,28.270029,0.0,NANDURBAR
2019-01-09,25.319117,22.360407,26.538843,0.0,HINGOLI
2019-01-09,27.190577,24.2741945,29.273798,0.0,CHANDRAPUR
2019-01-09,25.026453,22.479914,25.742884,0.0,SOLAPUR
2019-01-09,27.2996005,24.052805,30.0589845,0.0,NAGPUR
2019-01-09,26.378916,24.584223,27.445902,0.0,PALGHAR
