Year,Month,Avg_Temperature,Total_Rainfall,State,Crop,Season,NDVI,Baseline_NDVI,NDVI_Anomaly
2020,10,26.689710648263024,158.10625745413304,MP,PA,Rabi,0.451288736098037,0.5129942791646434,-0.06170554306660636
2020,11,21.35264014455128,125.2286667371925,MP,PA,Rabi,0.46407739844885776,0.46728603035997385,-0.003208631911116089
2020,12,18.024429302264267,1229.6084080525,MP,PA,Rabi,0.5130597751632605,0.5363757684741036,-0.02331599331084311
2021,1,18.00315139469603,468.2601341761984,MP,PA,Rabi,0.6104852270440078,0.6221646920727459,-0.011679465028738178
2021,2,21.200415298592034,214.801069433052,MP,PA,Rabi,0.5178259847737047,0.5798174109404561,-0.06199142616675146
2021,3,26.800082043424318,1941.0127280063095,MP,PA,Rabi,0.32461955313615587,0.3658966768720601,-0.04127712373590425
2021,10,25.72903727915633,1441.2652399437695,MP,PA,Rabi,0.5467544484537966,0.5129942791646434,0.03376016928915326
2021,11,21.389803877884617,256.599787131255,MP,PA,Rabi,0.46524940533927417,0.46728603035997385,-0.0020366250206996783
2021,12,17.554501796526054,1406.5542757981666,MP,PA,Rabi,0.5323789100604752,0.5363757684741036,-0.003996858413628401
2022,1,15.809728447580644,513.539436835193,MP,PA,Rabi,0.6200945478897325,0.6221646920727459,-0.0020701441830134337
2022,2,19.97195588581731,58.87842558568,MP,PA,Rabi,0.5724608518777841,0.5798174109404561,-0.0073565590626720745
2022,3,27.16831677884615,577.4707108616163,MP,PA,Rabi,0.35862073734361827,0.3658966768720601,-0.007275939528441855
2022,10,25.069461507382133,3713.410040598577,MP,PA,Rabi,0.4971233177150769,0.5129942791646434,-0.015870961449566456
2022,11,21.25273442621795,0.10348014384000001,MP,PA,Rabi,0.45571905907747173,0.46728603035997385,-0.011566971282502114
2022,12,18.83699174209057,66.42530290367,MP,PA,Rabi,0.5543941237457666,0.5363757684741036,0.018018355271662956
2023,1,16.70474908090364,82.87996313769,MP,PA,Rabi,0.6216091593929445,0.6221646920727459,-0.0005555326798014626
2023,2,21.966378238495878,6.9573579544649995,MP,PA,Rabi,0.6097175288374777,0.5798174109404561,0.029900117897021516
2023,3,24.90528937980769,2660.570176588273,MP,PA,Rabi,0.40815510561013196,0.3658966768720601,0.04225842873807184
2023,10,26.06795644292804,37.48675943857,MP,PA,Rabi,0.5783408267495321,0.5129942791646434,0.06534654758488878
2023,11,22.282608559230766,2300.71778027815,MP,PA,Rabi,0.5040322522520946,0.46728603035997385,0.036746221892120734
2023,12,18.33377023456886,713.547959396841,MP,PA,Rabi,0.5277584795888771,0.5363757684741036,-0.008617288885226504
2019,6,33.637394052387265,4856.19306829335,MP,SB,Kharif,0.24751680081554456,0.3340757052028921,-0.08655890438734754
2019,7,28.259579996277914,16769.39764888788,MP,SB,Kharif,0.42269166413607706,0.43918245234574316,-0.016490788209666096
2019,8,26.523237205955336,18024.675126177084,MP,SB,Kharif,0.4798802550503686,0.565504712398752,-0.08562445734838342
2019,9,26.419102582371796,14915.517425355316,MP,SB,Kharif,0.5492698569278769,0.5967565151781452,-0.04748665825026832
2020,6,29.433113044551284,12681.153521475684,MP,SB,Kharif,0.3870040129765644,0.3340757052028921,0.0529283077736723
2020,7,28.72362569975186,6896.61544246193,MP,SB,Kharif,0.5767499336222683,0.43918245234574316,0.13756748127652518
2020,8,26.833592799317618,17446.420320106212,MP,SB,Kharif,0.5609975186205888,0.565504712398752,-0.004507193778163221
2020,9,28.133283281089742,5680.6582325710715,MP,SB,Kharif,0.6137342502206617,0.5967565151781452,0.01697773504251654
2021,6,29.661462860576922,6084.3993363143945,MP,SB,Kharif,0.3843054043833826,0.3340757052028921,0.05022969918049053
2021,7,28.41676804032258,13208.733429169,MP,SB,Kharif,0.35318331763316313,0.43918245234574316,-0.08599913471258003
2021,8,26.852116674627794,11104.464290316486,MP,SB,Kharif,0.5681820419401031,0.565504712398752,0.0026773295413511367
2021,9,26.911793017628206,5276.32282883265,MP,SB,Kharif,0.5612895868642642,0.5967565151781452,-0.035466928313880985
2022,6,32.12869766173077,9321.01457264053,MP,SB,Kharif,0.3174766026360769,0.3340757052028921,-0.016599102566815183
2022,7,27.515350733560794,19476.18725098358,MP,SB,Kharif,0.404104893991464,0.43918245234574316,-0.03507755835427917
2022,8,26.806933216811416,17710.86210898517,MP,SB,Kharif,0.6529590339839473,0.565504712398752,0.08745432158519528
2022,9,27.050731626923078,8310.475821182148,MP,SB,Kharif,0.662732366699778,0.5967565151781452,0.06597585152163277
2023,6,31.485422144759617,14289.568729421484,MP,SB,Kharif,0.32828424995140487,0.3340757052028921,-0.005791455251487221
